Time,can_torque.Tau1,can_torque.Tau2,can_state.Omega1,can_state.Omega2,can_state.Theta1,can_state.Theta2,I1,I2,b1,b2,g,l1,l2,lc1,lc2,m1,m2,n_substeps,omega1_0,omega2_0,reset,theta1_0,theta2_0
0.5100000000000002,0.0,0.0,-1.6357192883271505,-3.4980118041750847,-0.023058703727884725,0.6039538522385254,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5200000000000002,0.0,0.0,-1.5381095850492739,-3.70990243450469,-0.038931951644560196,0.5679137536740739,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5300000000000002,0.0,0.0,-1.435686655422971,-3.9210833756694283,-0.05380483596622801,0.5297581551458317,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5400000000000003,0.0,0.0,-1.3287674454102991,-4.131307697927577,-0.06763067716367123,0.489495252354384,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5500000000000003,0.0,0.0,-1.2178502695137066,-4.340122502371705,-0.080366832339142,0.44713666560404663,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5600000000000003,0.0,0.0,-1.1036689177668977,-4.5467655451806905,-0.09197676846730372,0.4026999927798519,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5700000000000003,0.0,0.0,-0.9872601681358274,-4.750032545123808,-0.1024327436426449,0.35621254149731607,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5800000000000003,0.0,0.0,-0.8700430137927992,-4.948116948972067,-0.1117192252499699,0.30771653060964727,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.5900000000000003,0.0,0.0,-0.7539022773588214,-5.138434151850709,-0.1198371317842999,0.25727598793423695,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.6000000000000003,0.0,0.0,-0.6412596779510282,-5.317460075395308,-0.1268088673404095,0.2049853686423206,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
0.6100000000000003,0.0,0.0,-0.5351018554601683,-5.480639903910883,-0.1326838832746972,0.15097949581624293,0.0833,0.0833,0.1,0.1,9.81,1.0,1.0,0.5,0.5,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.5
